"filename", "language", "Java Properties", "Batch", "Markdown", "JSON", "XML", "Java", "comment", "blank", "total"
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\drawable\rounded_corners.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_category.xml", "XML", 0, 0, 0, 0, 30, 0, 0, 11, 41
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_edit_post.xml", "XML", 0, 0, 0, 0, 88, 0, 0, 16, 104
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_home.xml", "XML", 0, 0, 0, 0, 133, 0, 0, 37, 170
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_login.xml", "XML", 0, 0, 0, 0, 117, 0, 0, 17, 134
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_my_posts.xml", "XML", 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_notifications.xml", "XML", 0, 0, 0, 0, 19, 0, 9, 2, 30
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_profile.xml", "XML", 0, 0, 0, 0, 174, 0, 8, 13, 195
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_property_list.xml", "XML", 0, 0, 0, 0, 48, 0, 0, 10, 58
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_reset_password.xml", "XML", 0, 0, 0, 0, 35, 0, 0, 5, 40
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_settings.xml", "XML", 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_signup.xml", "XML", 0, 0, 0, 0, 95, 0, 0, 10, 105
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\activity_upload.xml", "XML", 0, 0, 0, 0, 105, 0, 0, 20, 125
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\dialog_layout.xml", "XML", 0, 0, 0, 0, 31, 0, 0, 8, 39
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\dialog_select_state_district.xml", "XML", 0, 0, 0, 0, 32, 0, 1, 5, 38
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\item_post.xml", "XML", 0, 0, 0, 0, 139, 0, 0, 28, 167
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\item_post_for_broker.xml", "XML", 0, 0, 0, 0, 79, 0, 0, 30, 109
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\item_post_for_property_wise.xml", "XML", 0, 0, 0, 0, 138, 0, 0, 26, 164
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\item_property_type.xml", "XML", 0, 0, 0, 0, 35, 0, 0, 8, 43
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\layout\notification_item.xml", "XML", 0, 0, 0, 0, 25, 0, 0, 6, 31
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 0, 0, 4, 0, 3, 0, 7
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 89, 0, 0, 5, 94
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 5, 0, 3, 1, 9
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 0, 3, 0, 10, 0, 13
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 0, 0, 5, 0, 14, 0, 19
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\app\src\test\java\com\example\praveen_investate\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 9, 5, 3, 17
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\gradle.properties", "Java Properties", 3, 0, 0, 0, 0, 0, 18, 0, 21
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 5, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\E Praveen Kumar\AndroidStudioProjects\praveen_investate\gradlew.bat", "Batch", 0, 39, 0, 0, 0, 0, 29, 22, 90
"Total", "-", 8, 39, 352, 32, 1907, 23406, 974, 8986, 35704
